Movie,Genre,Age_raiting,Director,Producer,Sequel,Distributor,Screens,Release_date
ALMA DE HEROE,ACCION,Doce ,ORLANDO PARDO,OCEANO DIGITAL,NO,CINECOLOR FILMS,121--130,febrero
EL COCO 3,COMEDIA,Siete ,JUAN CAMILO PINZON,DAGO GARCIA PRODUCCIONES,SI,CINE COLOMBIA,151--160,octubre
LA PACHANGA,COMEDIA,Todos ,HAROLD TROMPETERO,TROMPETERO PRODUCCIONES,NO,SANTA BARBARA,141--150,diciembre
AL SON QUE ME TOQUEN BAILO,COMEDIA,Todos ,JUAN CARLOS MAZO,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,171--180,diciembre
LA SUCURSAL,COMEDIA,Siete,MARIO RIBERO FERREIRA,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,121--130,noviembre
MAMA AL VOLANTE,COMEDIA,Siete,HAROLD TROMPETERO,TROMPETERO PRODUCCIONES,NO,CINECOLOR FILMS,91--100,mayo
EMBARAZADA POR OBRA Y GRACIA DEL ESPIRITU SANTO,COMEDIA,Doce,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,NO,CINE COLOMBIA,101--110,septiembre
PERSEGUIDA,THRILLER,Doce,OTRO,RESPLANDOR FILMS ,NO,SANTA BARBARA,111--120,septiembre
EL QUE SE ENAMORA PIERDE,COMEDIA,Todos ,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,NO,CINE COLOMBIA,101--110,enero
FEO PERO SABROSO,COMEDIA,Doce,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,NO,CINE COLOMBIA,101--110,mayo
LOS AJENOS FUTBOL CLUB,COMEDIA,Siete,JUAN CAMILO PINZON,DAGO GARCIA PRODUCCIONES,NO,CINECOLOR FILMS,131--140,febrero
BOYACOMAN Y LA ESMERALDA SAGRADA,COMEDIA,Todos,DIEGO FERNANDO AVILA PEREZ,BLACK FILMS PRODUCCIONES,NO,DIAMOND FILMS,81--90,marzo
AMIGO DE NADIE,DRAMA,Quince,RAFAEL MARTINEZ,OTRO,NO,SANTA BARBARA,101--110,noviembre
ME LLEVARAS EN TI,DRAMA,Todos ,OTRO,OTRO,NO,CINECOLOR FILMS,91--100,octubre
LA CANDIDATA SOLA NOS SALVA LA BRUJA,COMEDIA,Todos,RENE CASTELLANOS,OCHO Y MEDIOS COMUNICACIONES,NO,DIAMOND FILMS,21--30,febrero
MONOS,DRAMA,Doce,ALEJANDRO LANDES,STELA CINE SAS,NO,CINE COLOMBIA,101--110,agosto
EL REY DEL SAPO,DRAMA,Quince,HAROLD DE VASTEN,COMIN SUN FILMS,NO,DISTRITO PACIFICO,21--30,agosto
CALIBAN,TERROR,Quince,DAVID BOHORQUEZ,KATHERINE DIAZ,NO,CINECOLOR FILMS,51--60,junio
EL SENDERO DE LA ANACONDA,DOCUMENTAL,Todos,ALESSANDRO ANGULO,LABERINTO CINE Y TELEVISION,NO,CINE COLOMBIA,21--30,junio
LOS FIERROS,DRAMA,Quince,OTRO,DYNAMO,NO,CINE COLOMBIA,51--60,septiembre
LA MEDIUM DEL VENERABLE,DRAMA,Doce,OTRO,OTRO,NO,CINEPLEX,21--30,mayo
EL PIEDRA,DRAMA,Siete,RAFAEL MARTINEZ,OTRO,NO,CINE COLOMBIA,21--30,mayo
LITIGANTE,DRAMA,Siete,FRANCO LOLLI,EVIDENCIA FILMS,NO,CINE COLOMBIA,41--50,septiembre
NIÑA ERRANTE,DRAMA,Doce,RUBEN MENDOZA,DIAFRAGMA FILMS,NO,CINEPLEX,31--40,abril
LOS SILENCIOS,DRAMA,Siete,OTRO,DIAFRAGMA FILMS,NO,CINEPLEX,21--30,agosto
THE SMILING LOMBANA,DOCUMENTAL,Todos,DANIELA ABAD,LA ESPERANZA PRODUCCIONES,NO,CINE COLOMBIA,21--30,enero
EL CONCURSANTE,DRAMA,Quince,CARLOS OSUNA,OTRO,NO,CAMBIO DE OJOS,11--20,noviembre
GANGES,DOCUMENTAL,Todos,OTRO,OTRO,NO,CINE COLOMBIA,11--20,junio
LOS DIAS DE LA BALLENA,DRAMA,Doce,OTRO,OTRO,NO,DOC CO,21--30,julio
AMALIA,DRAMA,Siete,OTRO,CINE DE AMIGOS,NO,DISTRITO PACIFICO,11--20,mayo
LAPU,DOCUMENTAL,Todos ,OTRO,OTRO,NO,DOC CO,1--10,octubre
AFUERA DEL TIEMPO,COMEDIA,Siete,OTRO,OTRO,NO,ALTERNA VISTA,1--10,noviembre
HOMO BOTANICUS,DOCUMENTAL,Todos,OTRO,CASATARANTULA,NO,DOC CO,1--10,junio
LOLA DRONES,DRAMA,Dieciocho,OTRO,OTRO,NO,ALTERNA VISTA,1--10,agosto
EL AMPARO,DRAMA,Doce,OTRO,OTRO,NO,DISTRITO PACIFICO,1--10,noviembre
TORMENTERO,DRAMA,Todos ,OTRO,CONTRAVIA FILMS,NO,DOC CO,1--10,junio
LLUVIA,DRAMA,Doce,OTRO,OTRO,NO,ALTERNA VISTA,1--10,noviembre
DOBLE YO,DOCUMENTAL,Todos ,OTRO,OTRO,NO,JAGUAR DISTRIBUCIÓN,1--10,febrero
Y NOS FUIMOS PAL MUNDIAL,COMEDIA,Siete,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,NO,CINE COLOMBIA,181--190,mayo
PA LAS QUE SEA PAPA,COMEDIA,Todos ,HAROLD TROMPETERO,TROMPETERO PRODUCCIONES,NO,CINECOLOR FILMS,141--150,septiembre
EL PASEO 5,COMEDIA,Todos ,MARIO RIBERO FERREIRA,DAGO GARCIA PRODUCCIONES,SI,CINE COLOMBIA,131--140,diciembre
EL REALITY,COMEDIA,Todos,RODRIGO TRIANA,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,161--170,octubre
SI SABEN COMO ME PONGO PA QUE ME INVITAN,COMEDIA,Todos ,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,NO,CINE COLOMBIA,111--120,enero
LA PENA MAXIMA,COMEDIA,Todos ,RODRIGO TRIANA,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,91--100,marzo
SANTO CACHON,COMEDIA,Doce,OTRO,TAKE ONE PRODUCTIONS,NO,CINE COLOMBIA,61--70,julio
PERIODO DE PRUEBA,COMEDIA,Siete,OTRO,OCHO Y MEDIOS COMUNICACIONES,NO,DIAMOND FILMS,71--80,agosto
PAJAROS DE VERANO,DRAMA,Doce,CIRO GUERRA ,CIUDAD LUNAR PRODUCCIONES,NO,CINE COLOMBIA,71--80,agosto
EL MAN DEL PORNO,COMEDIA,Todos ,MATEO STIVELBERG,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,51--60,noviembre
SOMOS CALENTURA,DRAMA,Doce,OTRO,OTRO,NO,CINE COLOMBIA,61--70,septiembre
UNA SELFIE CON TIMOCHENKO,COMEDIA,Todos ,OTRO,OTRO,NO,CINEPLEX,31--40,marzo
LA CALETA,COMEDIA,Quince,OTRO,OTRO,NO,DISTRITO PACIFICO,21--30,octubre
AMALIA LA SECRETARIA,COMEDIA,Todos,ANDRES BURGOS,OTRO,NO,CINE COLOMBIA,31--40,abril
MATAR A JESUS,DRAMA,Doce,LAURA MORA,64 A FILMS,NO,CINE COLOMBIA,31--40,octubre
LA NEGOCIACIACION,DOCUMENTAL,Todos,OTRO,OTRO,NO,CINE COLOMBIA,21--30,noviembre
SAL,DRAMA,Todos ,WILLIAM VEGA,CONTRAVIA FILMS,NO,CINE COLOMBIA,11--20,abril
